system:time_start,ET
"Dec 1, 2018",1.312
"Jan 1, 2019",1.022
"Feb 1, 2019",0.721
"Mar 1, 2019",0.664
"Apr 1, 2019",0.961
"May 1, 2019",1.627
"Jun 1, 2019",1.265
"Jul 1, 2019",1.207
"Aug 1, 2019",1.061
"Sep 1, 2019",1.026
"Oct 1, 2019",1.545
"Nov 1, 2019",2.177
"Dec 1, 2019",2.321
"Jan 1, 2020",1.966
"Feb 1, 2020",1.649
"Mar 1, 2020",1.674
"Apr 1, 2020",2.202
"May 1, 2020",2.492
"Jun 1, 2020",1.797
"Jul 1, 2020",1.428
"Aug 1, 2020",1.309
"Sep 1, 2020",1.192
"Oct 1, 2020",1.214
"Nov 1, 2020",1.833
"Dec 1, 2020",1.389
"Jan 1, 2021",1.112
"Feb 1, 2021",0.876
"Mar 1, 2021",0.975
"Apr 1, 2021",1.589
"May 1, 2021",1.701
"Jun 1, 2021",1.268
"Jul 1, 2021",1.096
"Aug 1, 2021",1
"Sep 1, 2021",0.95
"Oct 1, 2021",0.959
"Nov 1, 2021",1.005
"Dec 1, 2021",1.266
"Jan 1, 2022",1.204
"Feb 1, 2022",0.876
"Mar 1, 2022",0.784
"Apr 1, 2022",0.953
"May 1, 2022",1.441
"Jun 1, 2022",1.132
"Jul 1, 2022",1.032
"Aug 1, 2022",0.977
"Sep 1, 2022",0.913
"Oct 1, 2022",0.764
"Nov 1, 2022",1.219
"Dec 1, 2022",1.104
"Jan 1, 2023",0.916
"Feb 1, 2023",0.644
