system:time_start,aet
"Dec 1, 1975",0.971
"Jan 1, 1976",0.322
"Feb 1, 1976",0.765
"Mar 1, 1976",0.641
"Apr 1, 1976",2.669
"May 1, 1976",1.527
"Jun 1, 1976",0.852
"Jul 1, 1976",1.028
"Aug 1, 1976",0.743
"Sep 1, 1976",1.19
"Oct 1, 1976",0.773
"Nov 1, 1976",2.155
"Dec 1, 1976",1.702
"Jan 1, 1977",1.107
"Feb 1, 1977",0.747
"Mar 1, 1977",1.435
"Apr 1, 1977",4.035
"May 1, 1977",2.029
"Jun 1, 1977",1.155
"Jul 1, 1977",0.941
"Aug 1, 1977",1.15
"Sep 1, 1977",0.859
"Oct 1, 1977",2.321
"Nov 1, 1977",3.938
"Dec 1, 1977",2.322
"Jan 1, 1978",1.636
"Feb 1, 1978",2.121
"Mar 1, 1978",3.787
"Apr 1, 1978",2.964
"May 1, 1978",1.718
"Jun 1, 1978",1.008
"Jul 1, 1978",1.002
"Aug 1, 1978",0.792
"Sep 1, 1978",0.847
"Oct 1, 1978",2.261
"Nov 1, 1978",2.547
"Dec 1, 1978",2.58
"Jan 1, 1979",2.399
"Feb 1, 1979",1.837
"Mar 1, 1979",2.476
"Apr 1, 1979",3.278
"May 1, 1979",2.3
"Jun 1, 1979",1.404
"Jul 1, 1979",1.09
"Aug 1, 1979",0.77
"Sep 1, 1979",0.718
"Oct 1, 1979",0.861
"Nov 1, 1979",2.439
"Dec 1, 1979",1.919
"Jan 1, 1980",0.648
"Feb 1, 1980",0.371
"Mar 1, 1980",0.997
"Apr 1, 1980",2.266
"May 1, 1980",1.895
"Jun 1, 1980",0.704
"Jul 1, 1980",0.758
"Aug 1, 1980",1.128
"Sep 1, 1980",0.601
"Oct 1, 1980",0.751
"Nov 1, 1980",2.58
"Dec 1, 1980",1.169
"Jan 1, 1981",0.342
"Feb 1, 1981",0.448
"Mar 1, 1981",4.082
"Apr 1, 1981",3.807
"May 1, 1981",2.319
"Jun 1, 1981",1.028
"Jul 1, 1981",1.01
"Aug 1, 1981",1.088
"Sep 1, 1981",0.948
"Oct 1, 1981",1.62
"Nov 1, 1981",1.639
"Dec 1, 1981",1.306
"Jan 1, 1982",0.338
"Feb 1, 1982",0.46
"Mar 1, 1982",1.398
"Apr 1, 1982",3.675
"May 1, 1982",2.642
"Jun 1, 1982",1.018
"Jul 1, 1982",0.986
"Aug 1, 1982",0.87
"Sep 1, 1982",1.186
"Oct 1, 1982",3.15
"Nov 1, 1982",3.351
"Dec 1, 1982",2.704
"Jan 1, 1983",0.951
"Feb 1, 1983",1.285
"Mar 1, 1983",0.644
"Apr 1, 1983",2.876
"May 1, 1983",1.799
"Jun 1, 1983",1.002
"Jul 1, 1983",1.041
"Aug 1, 1983",0.96
"Sep 1, 1983",1.033
"Oct 1, 1983",1.06
"Nov 1, 1983",1.613
"Dec 1, 1983",1.99
"Jan 1, 1984",0.521
"Feb 1, 1984",0.262
"Mar 1, 1984",0.47
"Apr 1, 1984",2.351
"May 1, 1984",1.044
"Jun 1, 1984",0.731
"Jul 1, 1984",0.918
"Aug 1, 1984",0.5
"Sep 1, 1984",0.676
"Oct 1, 1984",1.952
"Nov 1, 1984",3.13
"Dec 1, 1984",1.975
"Jan 1, 1985",0.842
"Feb 1, 1985",1.222
"Mar 1, 1985",2.397
"Apr 1, 1985",3.217
"May 1, 1985",2.456
"Jun 1, 1985",0.789
"Jul 1, 1985",1.005
"Aug 1, 1985",0.716
"Sep 1, 1985",0.702
"Oct 1, 1985",1.236
"Nov 1, 1985",2.113
"Dec 1, 1985",1.304
"Jan 1, 1986",0.397
"Feb 1, 1986",0.351
"Mar 1, 1986",1.626
"Apr 1, 1986",3.84
"May 1, 1986",1.989
"Jun 1, 1986",1.252
"Jul 1, 1986",0.867
"Aug 1, 1986",0.725
"Sep 1, 1986",0.63
"Oct 1, 1986",1.083
"Nov 1, 1986",2.839
"Dec 1, 1986",2.109
"Jan 1, 1987",0.96
"Feb 1, 1987",0.649
"Mar 1, 1987",1.093
"Apr 1, 1987",3.065
"May 1, 1987",2.631
"Jun 1, 1987",1.195
"Jul 1, 1987",0.867
"Aug 1, 1987",1.039
"Sep 1, 1987",0.572
"Oct 1, 1987",0.58
"Nov 1, 1987",2.469
"Dec 1, 1987",0.66
"Jan 1, 1988",1.088
"Feb 1, 1988",0.447
"Mar 1, 1988",2.032
"Apr 1, 1988",4.108
"May 1, 1988",1.641
"Jun 1, 1988",1.287
"Jul 1, 1988",1.234
"Aug 1, 1988",1.203
"Sep 1, 1988",1.341
"Oct 1, 1988",1.185
"Nov 1, 1988",2.545
"Dec 1, 1988",2.171
"Jan 1, 1989",1.313
"Feb 1, 1989",0.942
"Mar 1, 1989",2
"Apr 1, 1989",3.219
"May 1, 1989",2.054
"Jun 1, 1989",0.8
"Jul 1, 1989",0.918
"Aug 1, 1989",0.861
"Sep 1, 1989",1.082
"Oct 1, 1989",1.681
"Nov 1, 1989",3.119
"Dec 1, 1989",2.723
"Jan 1, 1990",1.144
"Feb 1, 1990",1.861
"Mar 1, 1990",2.916
"Apr 1, 1990",3.475
"May 1, 1990",1.778
"Jun 1, 1990",0.82
