system:time_start,Ec,Ei,Es
"Sep 26, 2011",0.855,0.059,1.251
"Oct 26, 2011",1.357,0.129,1.849
"Nov 26, 2011",1.724,0.074,1.535
"Dec 26, 2011",1.15,0.018,0.174
"Jan 26, 2012",0.779,0.005,0.106
"Feb 26, 2012",0.685,0.02,0.649
"Mar 26, 2012",0.765,0.067,1.365
"Apr 26, 2012",1.071,0.066,1.81
"May 26, 2012",0.912,0.051,0.599
"Jun 26, 2012",0.766,0.034,0.517
"Jul 26, 2012",0.752,0.045,0.462
"Aug 26, 2012",0.799,0.038,0.601
"Sep 26, 2012",0.793,0.039,0.846
"Oct 26, 2012",0.984,0.071,1.493
"Nov 26, 2012",1.077,0.071,1.328
"Dec 26, 2012",0.934,0.053,0.728
"Jan 26, 2013",0.78,0.013,0.478
"Feb 26, 2013",0.777,0.043,0.757
"Mar 26, 2013",1.205,0.091,2.271
"Apr 26, 2013",1.263,0.048,1.102
"May 26, 2013",0.877,0.039,0.29
"Jun 26, 2013",0.742,0.03,0.38
"Jul 26, 2013",0.687,0.038,0.6
"Aug 26, 2013",0.739,0.033,0.48
"Sep 26, 2013",0.737,0.029,0.479
"Oct 26, 2013",0.887,0.053,1.377
"Nov 26, 2013",1.044,0.051,1.025
"Dec 26, 2013",0.988,0.018,0.287
"Jan 26, 2014",0.758,0.035,0.535
"Feb 26, 2014",0.856,0.045,0.913
"Mar 26, 2014",1.032,0.053,1.801
"Apr 26, 2014",0.898,0.052,0.914
"May 26, 2014",0.722,0.039,0.78
"Jun 26, 2014",0.653,0.023,0.412
"Jul 26, 2014",0.643,0.031,0.637
"Aug 26, 2014",0.725,0.03,0.837
"Sep 26, 2014",0.789,0.039,0.732
"Oct 26, 2014",0.93,0.067,1.515
"Nov 26, 2014",1.031,0.024,1.53
"Dec 26, 2014",0.853,0.012,0.127
"Jan 26, 2015",0.65,0.014,0.31
"Feb 26, 2015",0.628,0.017,0.429
"Mar 26, 2015",0.879,0.071,1.981
"Apr 26, 2015",1.057,0.065,1.657
"May 26, 2015",0.94,0.049,0.498
"Jun 26, 2015",0.753,0.022,0.383
"Jul 26, 2015",0.687,0.027,0.494
"Aug 26, 2015",0.663,0.017,0.293
"Sep 26, 2015",0.684,0.038,0.726
"Oct 26, 2015",1.027,0.12,2.14
"Nov 26, 2015",1.41,0.134,1.822
"Dec 26, 2015",1.13,0.084,1.126
"Jan 26, 2016",0.913,0.044,0.878
"Feb 26, 2016",0.822,0.055,1.731
"Mar 26, 2016",0.789,0.101,1.985
"Apr 26, 2016",1.029,0.096,1.789
"May 26, 2016",0.866,0.058,0.54
"Jun 26, 2016",0.704,0.049,0.624
"Jul 26, 2016",0.695,0.046,0.566
"Aug 26, 2016",0.66,0.044,0.482
"Sep 26, 2016",0.658,0.046,0.646
"Oct 26, 2016",0.68,0.068,1.632
"Nov 26, 2016",0.869,0.06,1.99
"Dec 26, 2016",0.778,0.037,0.627
"Jan 26, 2017",0.635,0.04,0.997
"Feb 26, 2017",0.683,0.043,1.401
"Mar 26, 2017",0.719,0.066,1.933
"Apr 26, 2017",0.824,0.085,1.727
"May 26, 2017",0.798,0.049,0.757
"Jun 26, 2017",0.668,0.049,0.508
"Jul 26, 2017",0.665,0.049,0.537
"Aug 26, 2017",0.704,0.055,0.573
"Sep 26, 2017",0.791,0.068,1.053
"Oct 26, 2017",0.978,0.086,1.989
"Nov 26, 2017",0.99,0.048,1.088
"Dec 26, 2017",0.765,0.026,0.465
"Jan 26, 2018",0.648,0.02,0.306
"Feb 26, 2018",0.838,0.085,1.923
"Mar 26, 2018",1.354,0.157,1.725
"Apr 26, 2018",1.474,0.136,1.344
"May 26, 2018",1.189,0.094,0.747
"Jun 26, 2018",0.927,0.055,0.407
"Jul 26, 2018",0.801,0.053,0.306
"Aug 26, 2018",0.811,0.045,0.47
"Sep 26, 2018",0.802,0.062,0.672
"Oct 26, 2018",0.942,0.079,1.661
"Nov 26, 2018",1.073,0.092,1.922
"Dec 26, 2018",0.966,0.052,1.201
"Jan 26, 2019",0.772,0.035,0.593
"Feb 26, 2019",0.745,0.03,0.939
"Mar 26, 2019",0.75,0.063,1.42
"Apr 26, 2019",0.797,0.093,2.165
"May 26, 2019",0.828,0.073,1.295
"Jun 26, 2019",0.85,0.063,0.532
"Jul 26, 2019",0.771,0.06,0.587
"Aug 26, 2019",0.831,0.062,0.63
"Sep 26, 2019",0.998,0.097,1.447
